Profissão,"Masculino, Todas as Cores","Feminino, Todas as Cores","Feminino, Cor Branca","Masculino, Cor
Professores Praticos no Ensino Profissionalizante,2212.84,1774.47,1972.21,0.8018971096
Instrutores e Professores de Escolas Livres,1534,1600.56,1560.51,1.043389831
Inspetores de Alunos e Afins,1132.27,1037.28,1062.21,0.9161065824
"Pilotos de Aviacao Comercial, Navegadores, Mecanicos de Voo e Afins",3081.39,1778.42,3047.66,0.5771486245
"Tecnicos Maritimos, Fluviarios e Regionais de Conves",2312.14,2202.16,2310.68,0.9524336762
"Tecnicos Maritimos, Fluviarios e Regionais de Maquinas",2108.04,1680.75,2106.23,0.7973046052
Tecnicos em Transportes Intermodais,1762.36,1767.68,1763.69,1.003018679
Tecnicos em Transportes (Aduaneiros),1260.94,1603.38,1307.63,1.271575174
Tecnicos em Transportes Rodoviarios,1939.32,1519.88,1895.17,0.7837180042
Tecnicos em Transportes Metroferroviarios,1218.27,1164.53,1211.38,0.9558882678
Tecnicos em Transportes Aeroviarios,1561.93,1383.25,1484.67,0.885603068
Tecnicos em Transportes por Vias Navegaveis e Operacoes Portuarias,2183.78,3751.22,2256.98,1.71776461
Tecnicos em Contabilidade,2823.5,2470.37,2640.78,0.8749318222
Tecnicos em Administracao,2034.95,1817.03,1897.54,0.8929113737
Serventuarios da Justica e Afins,1727.5,1586.16,1638.7,0.9181823444
"Tecnicos em Secretariado, Taquigrafos e Estenotipistas",1299.92,1317.76,1314.51,1.013723921
Tecnicos em Seguranca no Trabalho,2417.25,2094.88,2319.28,0.8666377081
Tecnicos e Analistas de Seguros e Afins,1770.54,1934.57,1844.07,1.092644052
Inspetores de Policia e Detetives,1650.3,2146,1661.31,1.30036963
Tecnicos da Inteligencia,3315.75,1583.13,2622.7,0.4774575888
Agentes da Saude e do Meio Ambiente,2063.89,1982.23,2028.13,0.9604339379
Agentes de Inspecao de Pesos e Medidas,1762.31,1912.62,1786.22,1.085291464
Profissionais de Direitos Autorais e de Avaliacao de Produtos dos Meios de Comunicacao,1668.13,2387.51,1959.77,1.431249363
Tecnicos em Operacoes e Servicos Bancarios,2370.79,1998.74,2183.27,0.8430691879
Tecnicos de Vendas Especializadas,1706.15,1414.95,1546.92,0.8293233303
Compradores,2954.56,2975.05,2961.97,1.006935043
Tecnicos em Exportacao e Importacao,3197.74,3124.04,3154.89,0.9769524727
Leiloeiros e Avaliadores,1800.86,1542.43,1764.41,0.8564963406
Corretores de Seguros,1776.46,1307.62,1495.98,0.7360818707
Corretores de Imoveis,1483.57,1438.44,1464.22,0.9695801344
Representantes Comerciais Autonomos,1739.84,1754.75,1745.77,1.008569754
Tecnicos em Turismo,1652.17,1568.1,1596.87,0.9491154058
Tecnicos em Biblioteconomia,1297.33,1245.33,1259.71,0.9599176771
Tecnicos em Museologia e Afins,1751.33,1919.83,1818.73,1.096212593
Tecnicos em Artes Graficas,1869.27,1606.15,1808.29,0.8592391682
Recreadores,1194.85,1124.19,1141.57,0.9408628698
Cinegrafistas,1970.64,1603.31,1915.7,0.8135986279
Tecnicos em Operacao de Maquinas de Transmissao de Dados,1345.25,1180.92,1297.3,0.8778442669
Tecnicos de Operacao de Emissoras de Radio,1376.99,1207.57,1350.18,0.8769635219
Tecnicos em Operacao de Sistemas de Televisao e de Produtoras de Video,1874.48,1956.76,1896.15,1.04389484
Tecnicos em Operacao de Aparelhos de Sonorizacao,1381.34,1479.97,1388.6,1.071401682
Tecnicos em Operacao de Aparelhos de Cenografia,2520.96,2809.98,2570.77,1.114646801
Tecnicos em Operacao de Aparelhos de Projecao,1587.26,2177.95,1650.65,1.37214445
Tecnicos em Operacao de Aparelhos de Cenograf,1564.62,1508.46,1559.85,0.9641063006
"Designers de Interiores, de Vitrines e Visual Merchandiser (Nivel Medio)",1519.39,1619.83,1565.35,1.066105477
Dancarinos Tradicionais e Populares,1227.76,1216.77,1223.36,0.9910487392
"Palhacos, Acrobatas e Afins",1413.83,1443.35,1422.19,1.020879455
"Apresentadores de Espetaculos, Eventos e Programas",1779.61,1535.9,1666.6,0.8630542647
Modelos,1748.65,1755.85,1755.06,1.004117462
Atletas Profissionais,5782.98,2860.66,5597.48,0.4946688386
Arbitros Desportivos,1915.06,1160.07,1638.68,0.6057616994
Tecnicos de Planejamento e Controle de Producao,1700.7,1804.6,1720.64,1.061092491
Tecnicos de Controle da Producao,2026.88,1844.32,1952.89,0.9099305336
Tecnicos de Apoio em Pesquisa e Desenvolvimento,2605.95,2399.35,2525.63,0.920719891
"Supervisores de Servicos Administrativos (Exceto Contabilidade, Financas e Controle)",2684.91,2374.48,2544.18,0.8843797371
"Supervisores de Servicos Financeiros, de Cambio e de Controle",2485.6,1775.12,2118.44,0.7141615706
"Escriturarios em Geral, Agentes, Assistentes e Auxiliares Administrativos",1186.07,1195.18,1191.65,1.007680828
Operadores de Maquinas de Escritorio,1346.11,1169.83,1244.73,0.8690448775
Continuos,987.2,930.36,970.93,0.9424230146
Escriturarios de Contabilidade,1555.88,1514.91,1528.94,0.973667635
Escriturarios de Servicos Bancarios,1492.75,1278.25,1347.91,0.8563054765
Almoxarifes e Armazenistas,1198.28,1147.79,1191.09,0.9578646059
Escriturarios de Apoio À Producao,1377.94,1274.22,1360.54,0.9247282175
Escriturarios de Servicos de Biblioteca e Documentacao,1140.58,1101.04,1122.55,0.9653334269
Carteiros e Operadores de Triagem de Servicos Postais,1121.74,1128.41,1122.98,1.005946119
Supervisores de Trabalhadores de Atendimento ao Publico,2026.72,1789.74,1876.97,0.883072156
Caixas e Bilheteiros (Exceto Caixa de Banco),1094.1,1091.98,1092.31,0.9980623343
